Time (s),Avg Acc Displacement (in),Avg Acc Velocity (in/s),Avg Acc Acceleration (in/s²),Lin Acc Displacement (in),Lin Acc Velocity (in/s),Lin Acc Acceleration (in/s²),Central Diff Displacement (in),Central Diff Velocity (in/s),Central Diff Acceleration (in/s²),Wilson's Displacement (in),Wilson's Velocity (in/s),Wilson's Acceleration (in/s²)
0.92,0.1755173177297295,-3.935882902131725,-12.760137510339888,0.17351584870354833,-3.9597209149475265,-11.055621775109756,0.16931447449874196,-3.979943288422531,-7.676452816028633,2.001846152024594e+56,3.111702883243476e+59,9.644859194633844e+61
0.93,0.1362742111058875,-3.912738422636676,17.38903340934972,0.13387150838964681,-3.9185821553998523,19.28337368464456,0.1291312189737152,-3.904089694901673,22.84717152020027,-9.28430733278494e+56,-1.4431681409246737e+60,-4.473162777961427e+62
0.94,0.09869036366298858,-3.604031065943107,44.35243792936405,0.09609955076310178,-3.590839845587028,46.26508827792029,0.0912326806007085,-3.541386490888631,49.69346928240817,4.305943419399456e+57,6.69322991663345e+60,2.074595889307767e+63
0.95,0.06541771254501492,-3.0504991576516245,66.35394372893245,0.06286852270187328,-3.018954168584097,68.11204712266596,0.05830348915594259,-2.9374511296894092,71.09360295743619,-1.9970416818922603e+58,-3.1042347351302356e+61,-9.621711342894928e+63
0.96,0.038623918093916056,-2.308259732568149,82.09394128776265,0.036341700471170524,-2.2606985676559628,83.53907306296088,0.03248365800692031,-2.152983726563952,85.79987766765522,9.262024812604926e+58,1.4397045090057094e+62,4.462427099326958e+64
0.97,0.019864031533305307,-1.443717579554001,90.81448931506694,0.018049629929407406,-1.3839193925318143,91.81676196186882,0.015243814624663553,-1.2582576162617958,93.145344392776,-4.295609070514002e+59,-6.677166033207247e+62,-2.0696168183752872e+65
0.98,0.010005232902843988,-0.5280421465382629,92.32059728808068,0.008817492914843683,-0.4608861291148325,92.78989072152754,0.007318505681684397,-0.32725010253958164,93.0561583516668,1.992248742582726e+60,3.0967845107193318e+63,9.5986190464554e+65
0.99,0.00920679794130584,0.36835515423063325,86.95886286569853,0.008749165851512676,0.4373246856227253,86.85227222598402,0.00869881257387192,0.5681247803043844,86.01881821712637,-9.23979577091154e+60,-1.4362491898714647e+64,-4.451717186532336e+66
1.0,0.016953264383625984,1.1809381342333958,75.55773313485398,0.017265533273272276,1.245999494152509,74.88268947997273,0.018681001287772083,1.3632571029648204,73.00764631496084,4.285299524269105e+61,6.661140703417175e+64,2.0646496973109617e+67
1.01,0.032134994138470624,1.855407816735532,59.336203365573255,0.033190769841230296,1.911158534682524,58.14911862603026,0.03596395463316833,2.0051978101861154,55.38049512929816,-1.9874673064217908e+62,-3.0893521669935277e+65,-9.575582171981451e+67
