Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
33.97,0.0012247221100330009,0.0016705477951208737,-0.00030626942806107136,0.002066008867816731,0.001383263082380532,0.004777362164662378
33.98,0.001092996661643294,0.0016050583796863673,-0.0003547763253031585,0.0020517278166127346,0.0014582203787465418,0.004817245337756046
33.99,0.0009611956039580742,0.0015395916412118606,-0.00040290277605772797,0.002037741111512653,0.0015331012172580918,0.004856916947401049
34.0,0.0008294167605135804,0.001474237060539777,-0.0004505660340552211,0.0020241283970759533,0.0016079749341123741,0.004896452183312599
34.01,0.0006977313688433683,0.0014090575123609866,-0.0004977100327261891,0.002010942650546367,0.001682884304203201,0.0049358996856657435
34.02,0.0005661616837690383,0.0013440668696626365,-0.0005443277816708118,0.001998187785686066,0.0017578231455511568,0.004975259148735882
34.03,0.00043465791898398664,0.0012792069464728935,-0.0005904844331095197,0.001985795586625879,0.001832713253723546,0.005014458254528243
34.04,0.00030311802772270635,0.0012143672796949628,-0.0006362975149793902,0.0019736454750668674,0.0019074241695774088,0.005053372439729718
34.05,0.00017136358882880207,0.0011493610163433679,-0.0006819610640074139,0.001961540377502143,0.0019817490469922015,0.005091800762649756
34.06,3.915463287438798e-05,0.0010839397408349933,-0.0007277308254245022,0.0019492215257950322,0.00205541945392541,0.005129480703483689
34.07,-9.374843426009948e-05,0.0010178553997437394,-0.0007738623526510869,0.001936430357782732,0.002128167273457717,0.005166150064565193
34.08,-0.00022751975288479368,0.0009509253814795026,-0.0008205459402870794,0.0019229735845726764,0.0021997897714943248,0.005201612037274613
34.09,-0.0003621855169733796,0.0008831150099959154,-0.0008678241237414624,0.0019088056911963109,0.00227023209778905,0.00523581770226986
34.1,-0.0004976076689013794,0.0008145538512354578,-0.000915575345505811,0.001894045270615979,0.0023396036202911414,0.005268882363039935
34.11,-0.0006335722666030493,0.0007454473471584524,-0.0009636022880763047,0.0018788866910803424,0.002408089592814782,0.005300997212781156
34.12,-0.0007698506771136107,0.0006760156233890483,-0.001011693040193447,0.0018635389301591033,0.0024758899893645623,0.005332368167929444
34.13,-0.000906210815407359,0.0006064822515674666,-0.001059632313067382,0.0018482143587891285,0.002543208288450201,0.00536320465168208
34.14,-0.0010424440464767298,0.0005370473484632513,-0.0011072283232566125,0.001833101858664168,0.0026102245907238296,0.005393692710842324
