Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
9.62,3.27E-05,0.003019933,-0.031438806
9.64,7.53E-05,0.000668394,-0.203715083
9.66,6.51E-05,-0.000830116,0.053864122
9.68,6.48E-05,0.001085585,0.137705928
9.7,9.52E-05,0.001008029,-0.145461521
9.72,8.49E-05,-0.002103915,-0.165732884
9.74,2.41E-05,-0.003254119,0.050712509
9.76,-3.70E-05,-0.003162104,-0.041511056
9.78,-9.87E-05,-0.002529818,0.104739729
9.8,-0.000118154,0.001101576,0.258399603
9.82,-6.33E-05,0.003440565,-0.024500687
9.84,-1.46E-05,0.000671328,-0.252422964
9.86,-2.74E-05,-0.000733642,0.111925881
9.88,-1.73E-05,0.001859137,0.147352105
9.9,3.64E-05,0.002864074,-0.04685846
9.92,7.47E-05,0.000486728,-0.19087613
9.94,4.54E-05,-0.003458143,-0.203610941
9.96,-3.46E-05,-0.003058465,0.243578735
9.98,-6.50E-05,-0.000869193,-0.02465157
10,-8.48E-05,-0.000994572,0.012113722
10.02,-9.06E-05,0.001003272,0.187670609
10.04,-5.58E-05,0.001335493,-0.154448443
10.06,-4.11E-05,0.001077161,0.12861523
10.08,-5.33E-07,0.002645761,0.028244784
10.1,3.97E-05,0.000457341,-0.24708684
10.12,2.63E-05,-0.000449364,0.156416348
10.14,3.85E-05,0.001168722,0.005392239
10.16,4.12E-05,-0.001993471,-0.321611501
10.18,-2.60E-05,-0.002869213,0.234037303
10.2,-4.81E-05,7.81E-05,0.060697342
10.22,-4.68E-05,-0.000574,-0.125910708
10.24,-5.44E-05,0.00127161,0.310471687
10.26,2.37E-06,0.002868138,-0.150818888
10.28,2.62E-05,-0.000650458,-0.201040694
10.3,-1.55E-06,-0.000854482,0.1806383
10.32,4.00E-06,0.00073595,-0.021595071
10.34,1.16E-05,-0.000112035,-0.063203426
10.36,9.93E-06,0.000601533,0.134560198
10.38,3.61E-05,0.001371947,-0.057518814
10.4,4.98E-05,-0.000108457,-0.090521573
10.42,3.94E-05,-0.000441965,0.05717082
10.44,4.38E-05,0.000970829,0.084108543
