time(t), H.Exact(u), C.D(u1), C.D(v1), C.D(a1), N.L.A(u2), N.L.A(v2), N.L.A(a2)
15.92, -0.0008087412611784429, 0.0004352280901313839, -0.003382104282565608, -0.029209181310687636, 0.00038255719547992023, -0.003455206781958667, -0.02343852091094878
15.94, -0.0008880859935587651, 0.0003617441682179342, -0.0039528143613916265, -0.027861826571914113, 0.00030886335994753986, -0.0039092765568302336, -0.021968456576207718
15.96, -0.0009670865678772525, 0.00027711551567571885, -0.004532496356637047, -0.030106372952627858, 0.0002261304277274161, -0.004371702153596022, -0.024274103100371036
15.98, -0.0010457108649000097, 0.00018044431395245234, -0.005076663011294188, -0.02431029251308628, 0.00013421010223991337, -0.004801903484929655, -0.018746030032992245
16.0, -0.0011239265884903564, 7.404899522395133e-05, -0.005407967870137176, -0.008820193371212556, 3.541944167200395e-05, -0.00502733181499718, -0.0037968029737600606
16.02, -0.001201701311417501, -3.587440085303471e-05, -0.005464094425813711, 0.0032075378035590968, -6.513839252069238e-05, -0.00499104346917249, 0.007425637556229603
16.04, -0.0012790025300354535, -0.0001445147818085971, -0.005368069827770036, 0.006394922000808299, -0.00016332683054296425, -0.004820435140558095, 0.009635195305210065
16.06, -0.001355797726321489, -0.0002505971939638362, -0.005186135370396763, 0.011798523736519021, -0.00025752125571775587, -0.0045846454481546514, 0.013943773935134463
16.08, -0.0014320544355531, -0.00035196019662446764, -0.004883029143173452, 0.018512098985812155, -0.000346057108350084, -0.00425052473789126, 0.01946829709120479
16.1, -0.0015077403177504826, -0.00044591835969077424, -0.0044775514489093365, 0.02203567044059933, -0.00042702106784693974, -0.0038382274196578896, 0.021761434732132434
16.12, -0.0015828232309219807, -0.0005310622545808411, -0.004031088945441883, 0.022610579906146, -0.0004994753059121584, -0.0034092952177883495, 0.02113178545482164
16.14, -0.0016572713041247565, -0.0006071619175084496, -0.003564612135353935, 0.02403710110264885, -0.0005634154227910785, -0.0029837449508095235, 0.021423241243061164
16.16, -0.0017310530083908262, -0.0006736467399949985, -0.0030527773544150446, 0.027146376991240173, -0.0006186679368860799, -0.0025346196250617924, 0.02348929133171207
16.18, -0.0018041372236688113, -0.0007292730116850514, -0.0023750174042297266, 0.04062961802729165, -0.0006638290309454383, -0.0019398177720972866, 0.035990893964738646
16.2, -0.0018764933000883803, -0.0007686474361641876, -0.0014360646801185436, 0.053265654383826626, -0.0006946463218507994, -0.0011028670312569794, 0.04770418011929217
16.22, -0.0019480911120624232, -0.0007867155988897931, -0.0003003660076821826, 0.06030421285980948, -0.0007067471442006726, -8.643109115994709e-05, 0.0539394138904111
16.24, -0.0020189011039935694, -0.0007806620764714749, 0.0009367123683890583, 0.0634036247473146, -0.0006975226368289409, 0.0010171441491755345, 0.056418110143137024
16.26, -0.002088894326637962, -0.0007492471041542308, 0.002237722822616216, 0.0666974206754012, -0.0006657038949378473, 0.002174341883881613, 0.05930166332747083
16.28, -0.002158042463490438, -0.0006911531635668262, 0.003577713256886007, 0.06730162275157786, -0.0006103283586709424, 0.003364630038997794, 0.05972715218414726
16.3, -0.002226317846881431, -0.0006061385738787905, 0.004789201708046059, 0.053847222364427315, -0.0005319781862177402, 0.004425994268143259, 0.04640927073039913
16.32, -0.0022936934638053408, -0.0004995850952449839, 0.005740545397519278, 0.04128714658289441, -0.0004349815065941303, 0.005233420699950982, 0.034333372450373156
16.34, -0.0023601429518237725, -0.0003765167579780194, 0.00643565304295026, 0.028223617960203694, -0.0003242635416324377, 0.0057975196198481885, 0.022076519539347306
16.36, -0.002425640585693121, -0.00024215897352697347, 0.006887558442826988, 0.01696692202746909, -0.00020457581766305296, 0.006137354160317866, 0.011906934507620148
16.38, -0.002490161255646096, -0.00010101442026493988, 0.0070950454930912635, 0.0037817829989583917, -8.023773710044574e-05, 0.006256934418679149, 5.1091328507890665e-05
