Time(s),Displacement(m),Velocity(m/s),Acceleration(m/s^2)
11.38,-9.133715816860324e-07,1.3389415379502777e-05,0.0012083637605370132
11.4,-5.812732551369084e-07,1.0952280617992913e-05,-0.0014520772366880003
11.42,-6.809885168190185e-07,-2.2341078121422337e-05,-0.0018772586372535257
11.44,-1.352320811061364e-06,-3.724510152097191e-05,0.0003868562972985691
11.46,-1.8225903302208348e-06,8.12121950375164e-08,0.0033457750743023764
11.48,-1.1840367012298172e-06,6.216286921555384e-05,0.002862390627749254
11.5,1.9862338924119425e-07,5.444936886205151e-05,-0.003633740663099491
11.52,7.021744265527183e-07,2.971324503620497e-06,-0.0015140637727436125
11.54,6.643669192727583e-07,3.526862628201124e-06,0.0015696175852016755
11.56,8.66619336557266e-07,7.587961484257153e-06,-0.0011635076995960736
11.58,8.509887399546615e-07,-5.885435462944247e-06,-0.00018383199512406623
11.6,5.522126399494026e-07,-3.1207224123659696e-05,-0.0023483468709474776
11.62,-4.0459661632381235e-07,-5.762347148418809e-05,-0.00029327786510535865
11.64,-1.462795296794996e-06,-4.05500804512478e-05,0.002000616968399392
11.66,-1.970911496125906e-06,-1.5123438681134855e-05,0.0005420472086119033
11.68,-2.1283873999166476e-06,1.205019707539487e-06,0.001090798630255531
11.7,-1.98759346082163e-06,7.80106514661836e-06,-0.0004311940863476441
11.72,-1.962209107062968e-06,-7.482536365961056e-06,-0.0010971660649102973
11.74,-2.015682314428215e-06,1.791575227623806e-05,0.0036369949291302083
11.76,-1.195718130131449e-06,5.079317380073669e-05,-0.0003492527766803476
11.78,-4.5976750962549795e-07,1.2298773241222763e-05,-0.0035001872792710447
11.8,-5.048829953234625e-07,3.6370034555702476e-06,0.0026340103007057945
11.82,-1.5544113512622015e-07,1.880216911138791e-05,-0.0011174937351240283
11.84,-9.231639631740675e-08,-1.6960690050213527e-05,-0.0024587921810361162
11.86,-7.157742479364313e-07,-3.5009375832065464e-05,0.0006539236028509227
11.88,-1.2225900073077908e-06,-1.2542848270082221e-05,0.0015927291533474027
11.9,-1.0843342678982448e-06,2.989676591812231e-05,0.0026512322654730497
11.92,-2.5312440858087135e-07,3.83756244066309e-05,-0.0018033464166221924
11.94,1.1353788110360048e-07,-3.718441194369098e-06,-0.0024060601434778067
11.96,-1.2991519689490305e-07,-5.020477876259264e-06,0.00227585647528879
11.98,-4.430077669406204e-08,1.2455402975678205e-07,-0.0017613532846871855
12.0,-2.685212284055928e-07,-1.6268642969371322e-05,0.00012203358477437488
12.02,-4.086817426500209e-07,1.0292872954334679e-05,0.0025341180075962263
12.04,-1.396047714850124e-07,-5.5653803098803406e-06,-0.004119943334017729
12.06,-5.556169795032738e-07,-1.0071637242801244e-05,0.0036693176407256393
12.08,-1.274039057764791e-07,4.7682059137365315e-05,0.002106051997291015
12.1,6.050792810904026e-07,-6.552160217608509e-06,-0.0075294739327884
12.12,-2.489457715934409e-07,-3.970469813947552e-05,0.004214220140601702
12.14,-2.702078321093065e-07,3.407788579555418e-05,0.0031640382529012703
12.16,4.372539782679143e-07,6.323117436462051e-06,-0.005939515088810484
12.18,-7.60075023592227e-08,-3.024030607888981e-05,0.0022831727372753
12.2,-2.5168344447575664e-07,1.1297493467546526e-05,0.001870607217368334
12.22,2.8155877240341027e-08,6.748391486382622e-07,-0.0029328726492591616
12.24,-1.6710181651665283e-07,-1.3096058682339876e-06,0.002734428147571937
12.26,1.5240936772110295e-07,2.320160789641197e-05,-0.0002833067711073417
12.28,3.328380619118261e-07,-1.650584395314205e-05,-0.003687438413848061
12.3,-2.998735827952848e-07,-2.5020674661301937e-05,0.0028359553430320743
12.32,-2.8692289712369794e-07,2.3624398743021162e-05,0.002028551997400236
