Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s²)
10.04,0.2927024608478422,-2.1345990648835773,-0.6053599669782015
10.06,0.24882244704140774,-2.253402315759867,-11.274965120650783
10.08,0.20023787321306255,-2.6050550670746517,-23.890310010827704
10.1,0.14300858019844395,-3.117874234387208,-27.391606720427887
10.12,0.07556508888358418,-3.6264748970987695,-23.468459550728248
10.14,-0.0009468128687859726,-4.024715278138247,-16.355578553219495
10.16,-0.0826363136831547,-4.144234803298625,4.403626037181738
10.18,-0.1618757635206969,-3.7797101804555955,32.048836247121194
10.2,-0.22883345852032255,-2.9160593195069686,54.31624984774148
10.22,-0.27530490007006264,-1.7310848354670398,64.18119855625139
10.24,-0.29800593545528764,-0.5390187030554603,55.025414684906565
10.26,-0.2994951668668637,0.39009556189785166,37.886011810424634
10.28,-0.2852310825650763,1.0363128682808922,26.735718827879424
10.3,-0.2592522798799485,1.5615674002318891,25.789734367220255
10.32,-0.22312432974176902,2.051227613586057,23.17628696819652
10.34,-0.1782726526429977,2.433940096291076,15.094961302305414
10.36,-0.12777737405303724,2.615587762704968,3.0698053390838034
10.38,-0.07628810618470912,2.5333390241278435,-11.294679196796254
10.4,-0.028944791159051884,2.2009924784378803,-21.939975372200088
10.42,0.010365642415817562,1.730050879049065,-25.15418456668145
10.44,0.03924756474049244,1.1581413534184222,-32.03676799638283
10.46,0.054585130133245376,0.3756151858568717,-46.21584875977222
10.48,0.05265049253434218,-0.5690789457471911,-48.253564400634055
10.5,0.033087457466823414,-1.3872245610046856,-33.5609971251154
10.52,0.0007345570112822332,-1.848065484549432,-12.523095229359242
10.54,-0.03779029476334449,-2.0044196929132405,-3.112325607021594
