Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s^2),Acceleration (in/s²)
3.8,0.20202086485245616,0.7675748605569463,-111.63129396294482,
3.82,0.1962470093662516,-1.3449604091774008,-99.62223301048988,
3.84,0.15136778886109514,-3.142961641338246,-80.17789020559465,
3.86,0.07581687165634121,-4.412130079137147,-46.73895357429545,
3.88,-0.018690856029236758,-5.03864268942065,-15.912307454054826,
3.9,-0.12014119901215077,-5.1063916088707515,9.137415509044668,
3.92,-0.21372787615805725,-4.252276105719896,76.27413480604088,
3.94,-0.2769434520582727,-2.069281484301649,142.0253273357838,
3.96,-0.29079515057415345,0.6841116327135741,133.31398436573852,
3.98,-0.2527020376863058,3.1251996560711928,110.79481797002333,
4.0,-0.1721148624551558,4.933517867043805,70.03700312723788,
4.02,-0.06761609728676642,5.516358649795134,-11.752924852105004,
4.04,0.03313574918456045,4.5588259973375544,-84.00034039365295,
4.06,0.10578796755767073,2.7063958399734735,-101.24267534275515,
4.08,0.14173136494122396,0.8879438983818493,-80.60251881640727,
4.1,0.14385658030531728,-0.675422361972517,-75.73410721902937,
4.12,0.11434795952933466,-2.2754397156257458,-84.26762814629348,
4.14,0.05606432281591931,-3.552923955715789,-43.48079586271085,
4.16,-0.01693520639054295,-3.7470289649304362,24.070294941246143,
4.18,-0.08528298910618609,-3.087749306633877,41.85767088840976,
4.2,-0.13770023248318933,-2.1539750310664467,51.51975666833329,
4.22,-0.16775817038009727,-0.8518187586243477,78.6958705758766,
4.24,-0.16723938905296626,0.903696891337449,96.85569442030308,
4.26,-0.13223138315541857,2.5971036984173193,72.48498628768397,
4.28,-0.06851745256863759,3.774289360260779,45.23357989666202,
4.3,0.013394014293535235,4.416857325956503,19.023216672910394,
4.32,0.10286696515093711,4.530437759783685,-7.665173290192218,
4.34,0.18663293406553938,3.8461591316765418,-60.762689520522116,
4.36,0.24307424464959787,1.7979719267293075,-144.0560309742013,
4.38,0.24783085242289685,-1.3223111493994102,-167.97227663867045,
4.4,0.1914384532522077,-4.316928767669504,-131.4894851883389,
4.42,0.0846922646180665,-6.357690095744616,-72.58664761917231,
4.44,-0.05216407472900685,-7.327943838962721,-24.438726702638206,
4.46,-0.19804245667282247,-7.25989435541884,31.24367505702626,
4.48,-0.32949441029996074,-5.885301007294986,106.21565975535913,
4.5,-0.4189266503534068,-3.0579229980496216,176.5221411691773,
4.52,-0.44390245413682533,0.5603426197077703,185.3044206065619,
4.54,-0.39934202117175743,3.8957006767990197,148.23138510256302,
4.56,-0.29583118010237924,6.4553834301388,107.73689023141498,
4.58,-0.15139374495988556,7.9883600841105675,45.56077516576184,
4.6,0.009594950721972924,8.110509484075282,-33.34583516929051,
4.62,0.16087262042121753,7.017257485849179,-75.97936465331973,
4.64,0.2837952816654784,5.275008638576908,-98.24552007390734,
4.66,0.36866898759912203,3.2123619547874545,-108.01914830503806,
4.68,0.41069870892748744,0.9906101780490868,-114.15602936879871,
4.7,0.407279766934674,-1.332504377330432,-118.15542616915316,
4.72,0.3614894891191391,-3.2465234042230584,-73.24647652010951,
4.74,0.28730343359031146,-4.172082148659704,-19.309397923555053,
4.76,0.20267540518584126,-4.290720691787316,7.445543610793813,
4.78,0.11732285821607118,-4.244534005189693,-2.826874951031548,
4.8,0.03193366863969581,-4.294384952447844,-2.15821977478355,
4.82,-0.05275557458223937,-4.174539369745674,14.142778045000572,
4.84,-0.13176206255234707,-3.726109427265096,30.700216203057277,
4.86,-0.1966398303841869,-2.7616673559188865,65.74399093156367,
4.88,-0.23406116921564035,-0.980466527226459,112.37609193767906,
4.9,-0.2289403055944079,1.4925528893497046,134.9258497199373,
4.92,-0.17442409200513223,3.9590684695778613,111.72570830287839,
4.94,-0.07759557483333163,5.723783247602198,64.74576949955534,
4.96,0.04382288192617331,6.4180624283482945,4.682148575054299,
4.98,0.16781297032982792,5.980946412017165,-48.39375020816724,
5.0,0.2713098508493383,4.368741639933871,-112.82672700016212,
5.02,0.33109525292495345,1.6097985676276454,-163.06758023046046,
5.04,0.32846700089395164,-1.8726237707278264,-185.1746536050867,
5.06,0.2546587177317821,-5.508204545489127,-178.38342387104336,
5.08,0.1134014319028396,-8.617524037405124,-132.5485253205564,
5.1,-0.07879093811577992,-10.60171296445683,-65.87036738461416,
5.12,-0.2923191327769296,-10.751106501658139,50.93101366448327,
5.14,-0.4862138621009472,-8.638366430743618,160.3429934269688,
5.16,-0.6215344539899049,-4.893692758152154,214.12437383217764,
5.18,-0.6750554084079712,-0.45840268365447123,229.40463361759066,
5.2,-0.6396877900233214,3.9951645221194463,215.95208695980108,
